en.APP.INFO_DRAWER.TITLE,Details,Detalles
en_6.ADF_CLOUD_EDIT_TASK_FILTER.TOOL_TIP.SAVE_AS,Save filter as,Guardar filtro como
en_6.ADF_CLOUD_EDIT_TASK_FILTER.TOOL_TIP.DELETE,Delete filter,Eliminar filtro
en_6.ADF_CLOUD_EDIT_TASK_FILTER.LABEL.APP_NAME,ApplicationName,Nombre de aplicación
en_6.ADF_CLOUD_EDIT_TASK_FILTER.LABEL.TASK_ID,Task ID,ID de tarea
en_6.ADF_CLOUD_EDIT_TASK_FILTER.LABEL.PROCESS_DEF_ID,ProcessDefinitionId,ID de definición de proceso
en_6.ADF_CLOUD_EDIT_TASK_FILTER.LABEL.STATUS,Status,Estado
en_6.ADF_CLOUD_EDIT_TASK_FILTER.LABEL.ASSIGNMENT,Assignee,Usuario asignado
en_6.ADF_CLOUD_EDIT_TASK_FILTER.LABEL.DIRECTION,Direction,Dirección
en_6.ADF_CLOUD_EDIT_TASK_FILTER.LABEL.PROCESS_INSTANCE_ID,ProcessInstanceId,ID de instancia de proceso
en_6.ADF_CLOUD_EDIT_TASK_FILTER.LABEL.TASK_NAME,TaskName,Nombre de tarea
en_6.ADF_CLOUD_EDIT_TASK_FILTER.LABEL.PARENT_TASK_ID,ParentTaskId,ID de tarea primaria
en_6.ADF_CLOUD_EDIT_TASK_FILTER.LABEL.PRIORITY,Priority,Prioridad
en_6.ADF_CLOUD_EDIT_TASK_FILTER.LABEL.STAND_ALONE,Standalone,Independiente
en_6.ADF_CLOUD_EDIT_TASK_FILTER.LABEL.LAST_MODIFIED_FROM,LastModifiedFrom,Última modificación desde
en_6.ADF_CLOUD_EDIT_TASK_FILTER.LABEL.LAST_MODIFIED_TO,LastModifiedTo,Última modificación hasta
en_6.ADF_CLOUD_EDIT_TASK_FILTER.LABEL.OWNER,Owner,Propietario
en_6.ADF_CLOUD_EDIT_TASK_FILTER.LABEL.DUE_DATE,DueDate,Fecha de vencimiento
en_6.ADF_CLOUD_EDIT_TASK_FILTER.LABEL.SORT,Sort,Clasificar
en_6.ADF_CLOUD_EDIT_TASK_FILTER.LABEL.START_DATE,StartDate,Fecha de inicio
en_6.ADF_CLOUD_EDIT_TASK_FILTER.DIALOG.TITLE,Save filter as,Guardar filtro como
en_6.ADF_CLOUD_EDIT_TASK_FILTER.DIALOG.SAVE,SAVE,Guardar
en_6.ADF_CLOUD_EDIT_TASK_FILTER.DIALOG.CANCEL,CANCEL,Cancelar
en_6.ADF_CLOUD_EDIT_PROCESS_FILTER.TITLE,Customize your filter,Personalice su filtro
en_6.ADF_CLOUD_EDIT_PROCESS_FILTER.LABEL.APP_NAME,ApplicationName,Nombre de aplicación
en_6.ADF_CLOUD_EDIT_PROCESS_FILTER.LABEL.PROCESS_INS_ID,ProcessInstanceId,ID de instancia de proceso
en_6.ADF_CLOUD_EDIT_PROCESS_FILTER.LABEL.STATUS,Status,Estado
en_6.ADF_CLOUD_EDIT_PROCESS_FILTER.LABEL.INITIATOR,Initiator,Iniciador
en_6.ADF_CLOUD_EDIT_PROCESS_FILTER.LABEL.ASSIGNMENT,Assignee,Usuario asignado
en_6.ADF_CLOUD_EDIT_PROCESS_FILTER.LABEL.SORT,Sort,Clasificar
en_6.ADF_CLOUD_EDIT_PROCESS_FILTER.LABEL.DIRECTION,Direction,Dirección
en_6.ADF_CLOUD_EDIT_PROCESS_FILTER.LABEL.PROCESS_DEF_ID,ProcessDefinitionId,ID de definición de proceso
en_6.ADF_CLOUD_EDIT_PROCESS_FILTER.LABEL.PROCESS_DEF_KEY,ProcessDefinitionKey,Clave de definición de procesos
en_6.ADF_CLOUD_EDIT_PROCESS_FILTER.LABEL.LAST_MODIFIED,LastModified,Última modificación
en_6.ADF_CLOUD_EDIT_PROCESS_FILTER.LABEL.LAST_MODIFIED_DATE_FORM,LastModifiedFrom,Última modificación desde
en_6.ADF_CLOUD_EDIT_PROCESS_FILTER.LABEL.LAST_MODIFIED_TO,LastModifiedTo,Última modificación hasta
en_6.ADF_CLOUD_EDIT_PROCESS_FILTER.LABEL.PROCESS_NAME,ProcessName,Nombre de proceso
en_6.ADF_CLOUD_EDIT_PROCESS_FILTER.LABEL.APP_VERSION,AppReleaseVersion,Versión de la aplicación
en_6.ADF_CLOUD_EDIT_PROCESS_FILTER.ERROR.DATE,Date format DD/MM/YYYY,Formato de fecha DD/MM/AAAA
en_6.ADF_CLOUD_EDIT_PROCESS_FILTER.TOOL_TIP.SAVE,Save filter,Guardar filtro
en_6.ADF_CLOUD_EDIT_PROCESS_FILTER.TOOL_TIP.SAVE_AS,Save filter as,Guardar filtro como
en_6.ADF_CLOUD_EDIT_PROCESS_FILTER.TOOL_TIP.DELETE,Delete filter,Eliminar filtro
en_6.ADF_CLOUD_EDIT_PROCESS_FILTER.DIALOG.TITLE,Save filter as,Guardar filtro como
en_6.ADF_CLOUD_EDIT_PROCESS_FILTER.DIALOG.SAVE,SAVE,Guardar
en_6.ADF_CLOUD_EDIT_PROCESS_FILTER.DIALOG.CANCEL,CANCEL,Cancelar
en_6.ADF_CLOUD_GROUPS.SEARCH-GROUP,Groups,Grupos
en_6.ADF_CLOUD_GROUPS.MANDATORY,Mandatory,Obligatorio
en_6.ADF_CLOUD_GROUPS.ERROR.NOT_FOUND,No group found with the name {{groupName}},No se ha encontrado ningún grupo con el nombre {{groupName}}
en_6.ADF_CLOUD_USERS.ERROR.NOT_FOUND,No user found with the username {{userName}},No se ha encontrado ningún usuario con el nombre de usuario {{userName}}
en_6.ADF_CLOUD_PEOPLE_GROUPS.ERROR.INVALID_PATTERN,Must match the pattern {{pattern}},Debe coincidir con el patrón {{pattern}}
en_6.ADF_CLOUD_PEOPLE_GROUPS.ERROR.INVALID_MIN_LENGTH,Must be at least {{requiredLength}} characters,Debe tener al menos {{requiredLength}} caracteres
en_6.ADF_CLOUD_PEOPLE_GROUPS.ERROR.INVALID_MAX_LENGTH,"Length exceeded, {{requiredLength}} characters max","Longitud excedida, {{requiredLength}} caracteres máx."
en_6.ADF_CLOUD_PEOPLE_GROUPS.ERROR.REQUIRED,Field required,Campo obligatorio
en_6.ADF_CLOUD_TASK_HEADER.BUTTON.CLAIM,Claim,Pedir
en_6.ADF_CLOUD_TASK_HEADER.BUTTON.RELEASE,Release,Liberar
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.TASK_NAME,Task,Tarea
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.THUMBNAIL,Thumbnail,Miniatura
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.DURATION,Duration,Duración
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.PARENT_TASK_ID,Parent task id,ID de tarea primaria
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.NAME,Name,Nombre
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.ASSIGNEE,Assignee,Usuario asignado
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.ASSIGNEE_DEFAULT,No assignee,Sin asignado
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.PRIORITY,Priority,Prioridad
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.DUE_DATE,Due Date,Fecha de vencimiento
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.DUE_DATE_DEFAULT,No date,Sin fecha
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.STATUS,Status,Estado
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.CATEGORY,Category,Categoría
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.CATEGORY_DEFAULT,No category,Sin categoría
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.PARENT_NAME,Parent name,Nombre del elemento primario
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.PARENT_NAME_DEFAULT,No parent,Sin elemento primario
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.CREATED_BY,Created By,Creado por
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.CREATED,Created,Creado
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.END_DATE,End date,Fecha de fin
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.ID,ID,ID
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.DESCRIPTION,Description,Descripción
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.DESCRIPTION_DEFAULT,No description,Sin descripción
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.FORM_NAME,Form Name,Nombre del formulario
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.FORM_NAME_DEFAULT,No form,No hay formulario
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.CANDIDATE_USERS,Candidate Users,Usuarios candidatos
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.CANDIDATE_USERS_DEFAULT,No Candidate Users,Sin usuarios candidatos
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.CANDIDATE_GROUPS,Candidate Groups,Grupos candidatos
en_6.ADF_CLOUD_TASK_HEADER.PROPERTIES.CANDIDATE_GROUPS_DEFAULT,No Candidate Groups,Sin grupos candidatos
en_6.ADF_CLOUD_TASK_HEADER.FORM_VALIDATION.INVALID_FIELD,Enter a different value,Introducir un valor diferente
en_6.ADF_CLOUD_PROCESS_HEADER.PROPERTIES.ID,ID,ID
en_6.ADF_CLOUD_PROCESS_HEADER.PROPERTIES.NAME,Name,Nombre
en_6.ADF_CLOUD_PROCESS_HEADER.PROPERTIES.NAME_DEFAULT,No name,Sin nombre
en_6.ADF_CLOUD_PROCESS_HEADER.PROPERTIES.DESCRIPTION,Description,Descripción
en_6.ADF_CLOUD_PROCESS_HEADER.PROPERTIES.DESCRIPTION_DEFAULT,No description,Sin descripción
en_6.ADF_CLOUD_PROCESS_HEADER.PROPERTIES.STATUS,Status,Estado
en_6.ADF_CLOUD_PROCESS_HEADER.PROPERTIES.BUSINESS_KEY,Business Key,Clave de negocio
en_6.ADF_CLOUD_PROCESS_HEADER.PROPERTIES.INITIATOR,Initiator,Iniciador
en_6.ADF_CLOUD_PROCESS_HEADER.PROPERTIES.START_DATE,Start Date,Fecha de inicio
en_6.ADF_CLOUD_PROCESS_HEADER.PROPERTIES.LAST_MODIFIED,Last Modified,Modificada por última vez
en_6.ADF_CLOUD_PROCESS_HEADER.PROPERTIES.PARENT_ID,Parent Id,ID de elemento primario
en_6.ADF_CLOUD_PROCESS_HEADER.PROPERTIES.NONE,None,Ninguno
en_6.ADF_CLOUD_TASK_FORM.EMPTY_FORM.TITLE,No form available,Sin formulario disponible
en_6.ADF_CLOUD_TASK_FORM.EMPTY_FORM.SUBTITLE,Attach a form that can be viewed later,Adjunte un formulario que pueda verse más tarde
en_6.ADF_CLOUD_TASK_FORM.EMPTY_FORM.BUTTONS.COMPLETE,COMPLETE,Completar
en_6.ADF_CLOUD_TASK_FORM.EMPTY_FORM.BUTTONS.CANCEL,CANCEL,Cancelar
en_6.ADF_CLOUD_TASK_FORM.EMPTY_FORM.BUTTONS.CLAIM,CLAIM,Pedir
en_6.ADF_CLOUD_TASK_FORM.EMPTY_FORM.BUTTONS.UNCLAIM,RELEASE,Liberar
en_7.GOVERNANCE.DECLARE-RECORD.TITLE,Declare Record,Declarar como documento de archivo
en_7.GOVERNANCE.DECLARE-RECORD.SUCCESS,{{fileName}} has been declared as record,{{fileName}} se ha declarado como documento de archivo
en_7.GOVERNANCE.DECLARE-RECORD.FAIL,Cannot declare {{fileName}} as record,{{fileName}} no puede declararse como documento de archivo
en_7.GOVERNANCE.DECLARE-RECORD.DIALOG.TITLE,Declare Record,Declarar como documento de archivo
en_7.GOVERNANCE.DECLARE-RECORD.DIALOG.MESSAGE,This document was previously declared as a record and was rejected.,Este documento ya se declaró como documento de archivo anteriormente y fue rechazado.
en_7.GOVERNANCE.DECLARE-RECORD.DIALOG.YES,Declare Record,Declarar como documento de archivo
en_7.GOVERNANCE.DECLARE-RECORD.DIALOG.NO,Cancel,Cancelar
en_7.GOVERNANCE.DECLARE-RECORD.DIALOG.CLOSE,CLOSE,Cerrar
en_7.GOVERNANCE.DECLARE-RECORD.BULK-OPERATION.ERRORS.FOLDER,Declare folder as record is not currently supported,Por ahora no se permite declarar una carpeta como documento de archivo
en_7.GOVERNANCE.DECLARE-RECORD.BULK-OPERATION.ERRORS.EXISTING-RECORD,Already declared as record,Ya se ha declarado como documento de archivo
en_7.GOVERNANCE.DECLARE-RECORD.BULK-OPERATION.ERRORS.FAILED,Failed to declare as record,Error al declarar como documento de archivo
en_7.GOVERNANCE.DECLARE-RECORD.BULK-OPERATION.SUCCESS,Item has been declared as record,El elemento se ha declarado como documento de archivo
en_7.GOVERNANCE.REJECTED-INFO-RECORD.TITLE_LABEL,Rejected Record,Documento de archivo de rechazado
en_7.GOVERNANCE.REJECTED-INFO-RECORD.CLOSE_LABEL,Close,Cerrar
en_7.GOVERNANCE.REJECTED-INFO-RECORD.SUB-TITLE,The file '{{ nodeName }}' was rejected as a record,El fichero '{{ nodeName }}' se ha rechazado como documento de archivo
en_7.GOVERNANCE.REJECTED-INFO-RECORD.BY,By,Por
en_7.GOVERNANCE.REJECTED-INFO-RECORD.AT,At,A las
en_7.GOVERNANCE.REJECTED-INFO-RECORD.REASON,With the reason,Con el motivo
en_7.GOVERNANCE.REJECTED-INFO-RECORD.CONFIRM,Confirm,Confirmar
en_7.GOVERNANCE.REJECTED-INFO-RECORD.WARNING,If you remove the rejected record warning then the options to declare the file as a record will be available again,"Si elimina el aviso de documento de archivo rechazado, las opciones para declarar el fichero como documento de archivo estarán otra vez disponibles."
en_7.GOVERNANCE.REJECTED-INFO-RECORD.FAILED-REMOVE,Failed to remove rejected warning of {{nodeName}} : {{errorMessage}},Error al eliminar mensaje de rechazo de {{nodeName}}: {{errorMessage}}
en_7.GOVERNANCE.RECORD-NAME.REJECT,Record rejected,Documento de archivo rechazado
en_7.GOVERNANCE.RECORD-NAME.TITLE,Record,Documento de archivo
en_7.GOVERNANCE.RECORD-NAME.TOOLTIP-MESSAGE,Remove Warning,Eliminar aviso
en_7.GOVERNANCE.RECORD-NAME.ICONS-TOOLTIP-MESSAGE.RECORD,Record,Documento de archivo
en_7.GOVERNANCE.RECORD-NAME.ICONS-TOOLTIP-MESSAGE.REJECTED-RECORD,Rejected Record,Documento de archivo de rechazado
en_7.GOVERNANCE.RECORD-NAME.ICONS-TOOLTIP-MESSAGE.RECORD-HYPERLINK,Declared as a Record,Declarado como documento de archivo
en_7.GOVERNANCE.RECORD-NAME.ICONS-TOOLTIP-MESSAGE.REJECTED-RECORD-HYPERLINK,"Record was rejected, view file information for details",Se ha rechazado el documento de archivo; consulte la información del fichero para más detalles
en_7.GOVERNANCE.DELETE-RECORD.TITLE,Remove,Eliminar
en_7.GOVERNANCE.DELETE-RECORD.SUCCESS,'{{ name }}' has been removed,'{{ name }}' se ha eliminado
en_7.GOVERNANCE.DELETE-RECORD.FAIL,Failed to remove {{recordId}},Error al eliminar {{recordId}}
en_7.GOVERNANCE.DELETE-RECORD.DIALOG.TITLE,Remove Record Instance,Eliminar instancia del documento de archivo
en_7.GOVERNANCE.DELETE-RECORD.DIALOG.YES-ALL,"REMOVE, AND DON'T SHOW THIS AGAIN",Eliminar y no volver a mostrar
en_7.GOVERNANCE.DELETE-RECORD.DIALOG.YES,Remove,Eliminar
en_7.GOVERNANCE.DELETE-RECORD.DIALOG.NO,Cancel,Cancelar
en_7.GOVERNANCE.DELETE-RECORD.DIALOG.MESSAGE.DELETE,"This instance of '{{name}}' will be permanently removed, and will not be retrievable from the trash.",Esta instancia de '{{name}}' se eliminará permanentemente y no podrá recuperarse de la papelera.
en_7.GOVERNANCE.DELETE-RECORD.DIALOG.MESSAGE.ADDITIONAL,The record '{{name}}' that resides in your organisation's records management system will not be affected.,El documento de archivo '{{name}}' que reside en el sistema de gestión de documentos de archivo de su organización no se verá afectado.
en_7.GOVERNANCE.RECORD-PROPERTIES.RECORD_GROUP_TITLE,Record,Documento de archivo
en_7.GOVERNANCE.RECORD-PROPERTIES.RETENTION_SCHEDULE_GROUP_TITLE,Retention Schedule,Planificación de retención
en_7.GOVERNANCE.RECORD-PROPERTIES.REJECTED_RECORD_GROUP_TITLE,Rejected Record,Documento de archivo de rechazado
en_7.GOVERNANCE.MOVE-RECORD.TITLE,Move,Mover
en_7.GOVERNANCE.MOVE-RECORD.MOVE-ITEM,Move '{{ name }}' to,Mover '{{ name }}' a
en_7.GOVERNANCE.MOVE-RECORD.SAME-FOLDER-MOVE,Cannot move to the same folder,No puede moverse a la misma carpeta
en_7.GOVERNANCE.MOVE-RECORD.SUCCESSFUL,Record moved successfully,Documento de archivo movido correctamente
en_7.GOVERNANCE.GLACIER.STORE.TITLE,Send to Archive,Enviar a archivo
en_7.GOVERNANCE.GLACIER.STORE.SUCCESS,The file {{ name }} will be archived,El fichero {{ name }} se archivará
en_7.GOVERNANCE.GLACIER.STORE.FAIL,Failed to archive {{ name }},Error al archivar {{ name }}
en_7.GOVERNANCE.GLACIER.STORE.BULK-OPERATION.ERRORS.EXISTING-STORED-NODE,Item already archived.,Elemento ya archivado.
en_7.GOVERNANCE.GLACIER.STORE.BULK-OPERATION.ERRORS.PENDING-RESTORE, Item pending restore. , Elemento pendiente de restauración. 
en_7.GOVERNANCE.GLACIER.STORE.BULK-OPERATION.ERRORS.RESTORED,Unable to archive the restored items,No han podido archivarse los elementos restaurados
en_7.GOVERNANCE.GLACIER.STORE.BULK-OPERATION.ERRORS.FOLDER,Restoring from archive is not currently supported,Actualmente no es posible restaurar del archivo
en_7.GOVERNANCE.GLACIER.STORE.BULK-OPERATION.FAIL,Failed to archive,Error al archivar
en_7.GOVERNANCE.GLACIER.STORE.BULK-OPERATION.SUCCESS,Item will be archived,El elemento se archivará
en_7.GOVERNANCE.GLACIER.STORE.DIALOG.TITLE,Send to Archive,Enviar a archivo
en_7.GOVERNANCE.GLACIER.STORE.DIALOG.MESSAGE,You are about to send files to an external archive. There may be a cost associated with retrieving files from the archive. Are you sure you want to continue?,Está a punto de enviar ficheros a un archivo externo. Puede que recuperarlos tenga un coste asociado. ¿Está seguro de que desea continuar?
en_7.GOVERNANCE.GLACIER.STORE.DIALOG.YES,Send to Archive,Enviar a archivo
en_7.GOVERNANCE.GLACIER.STORE.DIALOG.NO,Cancel,Cancelar
en_7.GOVERNANCE.GLACIER.RESTORE.TITLE,Restore from Archive,Restaurar del archivo
en_7.GOVERNANCE.GLACIER.RESTORE.SYNC-ERROR,The file you are trying to restore has not been synchronized to archive yet. This operation might take up to 24 hours. Please try again later.,El fichero que está intentado restaurar todavía no se ha sincronizado para su archivado. Esta operación puede tardar 24 horas. Vuelva a intentarlo más tarde.
en_7.GOVERNANCE.GLACIER.RESTORE.FAIL,Failed to restore {{ name }} from the archive,Error al restaurar {{ name }} del archivo
en_7.GOVERNANCE.GLACIER.RESTORE.DIALOG.TITLE,Restore from Archive,Restaurar del archivo
en_7.GOVERNANCE.GLACIER.RESTORE.DIALOG.LABEL.TYPE,Restore Speed (250MB limit per restore),Velocidad de restauración (límite de 250 MB por restauración)
en_7.GOVERNANCE.GLACIER.RESTORE.DIALOG.LABEL.OPTION-FAST,Fast – duration 1-5 mins (highest cost),Rápida: 1-5 min de duración (coste más alto)
en_7.GOVERNANCE.GLACIER.RESTORE.DIALOG.LABEL.OPTION-STANDARD,Standard – duration 3-5 hrs,Estándar: 3-5 h de duración
en_7.GOVERNANCE.GLACIER.RESTORE.DIALOG.LABEL.OPTION-SLOW,Slow – duration 5-12 hrs (lowest cost),Lenta: 5-12 h de duración (coste más bajo)
en_7.GOVERNANCE.GLACIER.RESTORE.DIALOG.LABEL.DURATION,How long will files be restored for? (days),¿Por cuánto tiempo se restaurarán los archivos? (días)
en_7.GOVERNANCE.GLACIER.RESTORE.DIALOG.YES,Confirm,Confirmar
en_7.GOVERNANCE.GLACIER.RESTORE.DIALOG.NO,Cancel,Cancelar
en_7.GOVERNANCE.GLACIER.RESTORE.BULK-OPERATION.TITLE,Restore from Archive,Restaurar del archivo
en_7.GOVERNANCE.GLACIER.RESTORE.BULK-OPERATION.ERRORS.EXISTING-SYNC-ERROR, The files you are trying to restore have not been synchronized to archive yet. This operation might take up to 24 hours. Please try again later., Los ficheros que está intentando restaurar todavía no se han sincronizado para su archivado. Esta operación puede tardar 24 horas. Vuelva a intentarlo más tarde.
en_7.GOVERNANCE.GLACIER.RESTORE.BULK-OPERATION.ERRORS.RESTORED,Item is already restored,El elemento ya está restaurado
en_7.GOVERNANCE.GLACIER.RESTORE.BULK-OPERATION.ERRORS.PENDING-RESTORE,Item is already pending restore.,El elemento ya está pendiente de restauración.
en_7.GOVERNANCE.GLACIER.RESTORE.BULK-OPERATION.ERRORS.NOT-STORED,The item you are trying to restore has not been synchronized to archive yet,El elemento que está intentando restaurar todavía no se ha sincronizado para su archivado
en_7.GOVERNANCE.GLACIER.RESTORE.BULK-OPERATION.ERRORS.FAIL,Failed to restore,Error al restaurar
en_7.GOVERNANCE.GLACIER.RESTORE.BULK-OPERATION.ERRORS.FOLDER,Restoring a folder is not currently supported,Actualmente no es posible restaurar carpetas
en_7.GOVERNANCE.GLACIER.RESTORE.BULK-OPERATION.SUCCESS,Item will be restored,Se restaurará el elemento
en_7.GOVERNANCE.GLACIER.EXTEND-RESTORE.TITLE,Extend Restore Time,Ampliar tiempo de restauración
en_7.GOVERNANCE.GLACIER.EXTEND-RESTORE.SUCCESS,Restore duration will be extended to '{{ days }}' days from {{ date }},El período de restauración se ampliará a '{{ days }}' días a partir de {{ date }}
en_7.GOVERNANCE.GLACIER.EXTEND-RESTORE.FAIL,Failed to extend restore time of {{ name }} from the archive,Error al ampliar el tiempo de restauración de {{ name }} del archivo
en_7.GOVERNANCE.GLACIER.ICONS-TOOLTIP-MESSAGE.STORE,"This file is archived. To restore, right click and select restore from the archive.","El fichero se ha archivado. Para restaurarlo, haga clic con el botón derecho y seleccione la opción de restaurar del archivo."
en_7.GOVERNANCE.GLACIER.ICONS-TOOLTIP-MESSAGE.RESTORED,Restored,Restaurado
en_7.GOVERNANCE.GLACIER.ICONS-TOOLTIP-MESSAGE.PENDING-RESTORE,"Currently restoring files from the archive. If you cannot preview the file or download it, please try again later","Restaurando ficheros del archivo. Si no puede obtener una vista previa o descargar el fichero, vuelva a intentarlo más tarde"
en_7.GOVERNANCE.BULK-OPERATION.TITLE,Bulk Operation Status,Estado de operación en masa
en_7.GOVERNANCE.BULK-OPERATION.FAIL,Failed to perform the operation,Error al realizar la operación
en_7.GOVERNANCE.BULK-OPERATION.CLOSE,CLOSE,Cerrar
en_4.ANALYTICS.TITLE,ANALYTICS,Análisis
en_4.ANALYTICS.MESSAGES.UNKNOWN-WIDGET-TYPE,UNKNOWN WIDGET TYPE,Tipo de widget desconocido
en_4.ANALYTICS.MESSAGES.FILL-PARAMETER,Choose from the report options,Elija de las opciones de informes
en_4.ANALYTICS.MESSAGES.NO-DATA-FOUND,No data found,No se encontraron datos
en_4.ANALYTICS.MESSAGES.ZERO-DATA-FOUND,There are only zero values,Solo hay valores cero
en_4.ANALYTICS.MESSAGES.ICON-SETTING,Settings,Configuración
en_4.ANALYTICS.MESSAGES.ICON-SAVE,Save,Guardar
en_4.ANALYTICS.MESSAGES.ICON-DELETE,Delete,Eliminar
en_4.ANALYTICS.MESSAGES.ICON-EXPORT-CSV,Export,Exportar como csv
en_4.__KEY_REPORTING.DEFAULT-REPORTS.PROCESS-DEFINITION-OVERVIEW.GENERAL-TABLE-TOTAL-PROCESS-DEFINITIONS,Total number of process definitions,Número total de definiciones de procesos
en_4.__KEY_REPORTING.DEFAULT-REPORTS.PROCESS-DEFINITION-OVERVIEW.GENERAL-TABLE-TOTAL-PROCESS-INSTANCES,Total number of process instances,Número total de instancias de procesos
en_4.__KEY_REPORTING.DEFAULT-REPORTS.PROCESS-DEFINITION-OVERVIEW.GENERAL-TABLE-ACTIVE-PROCESS-INSTANCES,Total number of active process instances,Número total de instancias de procesos activas
en_4.__KEY_REPORTING.DEFAULT-REPORTS.PROCESS-DEFINITION-OVERVIEW.GENERAL-TABLE-COMPLETED-PROCESS-INSTANCES,Total number of completed process instances,Número total de instancias de procesos completadas
en_4.REPORTING.DEFAULT-REPORTS.PROCESS-HEAT-MAP.TYPE-FILTERING,Include pass through steps such as start events and gateways,Incluir pasos intermedios como eventos de inicio y puertas de enlace
en_4.REPORTING.DEFAULT-REPORTS.PROCESS-INSTANCES-OVERVIEW.PROCESS-DEFINITION,Process definition,Definición de procesos
en_4.REPORTING.DEFAULT-REPORTS.PROCESS-INSTANCES-OVERVIEW.DATE-RANGE,Date range,Rango de fechas
en_4.REPORTING.DEFAULT-REPORTS.PROCESS-INSTANCES-OVERVIEW.SLOW-PROC-INST-NUMBER,How many of the slowest process instances should be displayed?,¿Cuántas de las instancias del proceso más lentas deben mostrarse?
en_4.REPORTING.DEFAULT-REPORTS.TASK-OVERVIEW.PROCESS-DEFINITION,Process definition,Definición de procesos
en_4.REPORTING.DEFAULT-REPORTS.TASK-OVERVIEW.DATE-RANGE,Date range,Rango de fechas
en_4.REPORTING.DEFAULT-REPORTS.TASK-OVERVIEW.DATE-RANGE-INTERVAL,Group dates by,Agrupar fechas por
en_4.REPORTING.DEFAULT-REPORTS.TASK-SLA.TASK,Task,Tarea
en_4.REPORTING.DEFAULT-REPORTS.TASK-SLA.PROCESS-DEFINITION,Process definition,Definición de procesos
en_4.REPORTING.DEFAULT-REPORTS.TASK-SLA.DATE-RANGE,Date range,Rango de fechas
en_4.REPORTING.DEFAULT-REPORTS.TASK-SLA.SLA-DURATION,SLA required completion time,Fecha de finalización requerida en el SLA
en_4.REPORTING.PROCESS-STATUS,Process status,Estado del proceso
en_4.REPORTING.TASK-STATUS,Task status,Estado de la tarea
en_4.DIAGRAMS,Diagrams,Diagramas
en_5.DIALOG.SAVE_MESSAGE,Click Save to add a report with the current settings to your reports list.,Haga clic en Guardar para añadir un informe con los ajustes actuales a su lista de informes.
en_5.DATE-WIDGET.START-DATE,Start date,Fecha de inicio
en_5.DATE-WIDGET.END-DATE,End date,Fecha de fin
en_5.DATE-WIDGET.MESSAGES.START-DATE-REQUIRED,Start date is required,Se requiere fecha de inicio
en_5.DATE-WIDGET.MESSAGES.START-LESS-THAN-END-DATE,Start date must be before end date,La fecha de inicio debe ser anterior a la fecha de finalización
en_5.ADF_TASK_LIST.APPS.TITLE,No Applications Found,No se han encontrado aplicaciones
en_5.ADF_TASK_LIST.APPS.SUBTITLE,Create a new application that you want to easily find later,Cree una nueva aplicación que desee encontrar fácilmente después
en_5.ADF_TASK_LIST.APPS.TASK_APP_NAME,Task App,Aplicación de tareas
en_5.ADF_TASK_LIST.LIST.MESSAGES.TITLE,No Tasks Found,Ninguna tarea encontrada
en_5.ADF_TASK_LIST.LIST.MESSAGES.SUBTITLE,Create a new task that you want to easily find later,Cree una nueva tarea que desee encontrar fácilmente más adelante
en_5.ADF_TASK_LIST.LIST.MESSAGES.NONE,No task lists found,No se han encontrado listas de tareas
en_5.ADF_TASK_LIST.PROPERTIES.TASK_NAME,Task,Tarea
en_5.ADF_TASK_LIST.PROPERTIES.THUMBNAIL,Thumbnail,Miniatura
en_5.ADF_TASK_LIST.PROPERTIES.DURATION,Duration,Duración
en_5.ADF_TASK_LIST.PROPERTIES.PARENT_TASK_ID,Parent task id,ID de tarea primaria
en_5.ADF_TASK_LIST.PROPERTIES.NAME,Name,Nombre
en_5.ADF_TASK_LIST.PROPERTIES.ASSIGNEE,Assignee,Usuario asignado
en_5.ADF_TASK_LIST.PROPERTIES.ASSIGNEE_DEFAULT,No assignee,Sin asignado
