EN,Product,Context,AR,CZ,DA,DE,ES,FI,FR,IT,JA,NL,NB,PL,PT-BR,RU,SV,ZH-CN
Security Mark,RM,,علامة الأمن,Bezpečnostní třída,Sikkerhedsmærke,Sicherheitskennzeichen,Marca de seguridad,Suojausmerkintä,Marque de sécurité,Contrassegno di sicurezza,セキュリティマーク,Beveiligingsmarkering,Sikkerhetsmerke,Znak zabezpieczeń,Marca de segurança,Метка безопасности,Säkerhetsmarkering,安全标记
Set Auto-Declare Options,RM,,ضبط خيارات التصريح التلقائي,Nastavit možnosti automatického deklarování,Angiv indstillinger for automatisk deklaration,Optionen für automatische Deklaration,Configurar las opciones de declaración automática,Määritä automaatti-ilmoitusasetukset,Définir les options de déclaration automatique,Imposta opzioni di dichiarazione automatica,自動宣言オプションの設定,Opties voor automatisch declareren instellen,Still inn alternativer med automatiske erklæringer,Ustaw opcje automatycznej deklaracji,Definir opções de auto declaração,Задать параметры автоматического объявления,Inställningar för automatisk deklaration,设置自动声明选项
Settings,ACS,,,Nastavení,Indstillinger,Einstellungen,﻿Configuración,Asetukset,Paramètres,Impostazioni,設定,Instellingen,Innstillinger,Ustawienia,Configurações,Параметры,Inställningar,设置
Share,APS,"Verb ""to share"" (not product name)",,Sdílet,Del,Freigeben,Compartir,Jaa,Partager,Condividere,共有する,Delen,Dele,Udostępnij,Compartilhar,Открыть доступ,Dela OR Share,共享
Sign in,ACS,"Verb. As in: Sign in to Alfresco in the cloud (as in: Log in, Access)",تسجيل دخول,Přihlásit (se),Log ind,Anmelden,Iniciar sesión,Kirjaudu sisään,Se connecter,Accedi,サインインする,Aanmelden,Logg inn,Zaloguj się,Entrar,Войти,Logga in,登录
Sign up,ACS,Related sentence:Sign up today to claim your free network in the cloud (as in: Register),اشتراك,Zaregistrovat (se),Tilmeld,Registrieren,Registrarse,Rekisteröidy,S'inscrire,Registrati,"お申し込み, 申し込む, 登録する (depends on the context)",Registreren,Registrer deg,Zarejestruj się,Cadastrar,Зарегистрироваться,Registrera dig,注册
Single Sign-On,ACS, (SSO),دخول موحد,Jednotné přihlášení,Single Sign-On,Single Sign-On,Inicio de sesión único,Kertakirjautuminen,Authentification unique,Single Sign-On,シングルサインオン,Eenmalige aanmelding,Enkel innlogging,Logowanie jednokrotne,Single Sign-On,Система единого входа,Single Sign-On,单点登录
Site,ACS,"A site is a project area where you can share and discuss content with other site members. Danish: please do not translate ""site""",موقع,Místo,Site,Site,Sitio,Sivusto,Site,Sito,サイト,Site,Område,Witryna,Site,Сайт,Samarbetsyta,站点
Site Search,ACS,,بحث في الموقع,Hledání místa,Sitesøgning,Site-Suche,Búsquedas en el sitio,Sivustohaku,Recherche de sites,Ricerca sito,サイト内の検索,Site doorzoeken,Områdesøk,Wyszukaj w witrynie,Pesquisa do site,Поиск по сайту,Sökning inom samarbetsyta,站点搜索
Snapshot,ACS,,لقطة,Snímek,Snapshot,Snapshot,Instantánea,Tilannevedos,Cliché,Istantanea,スナップショット,Momentopname,Øyeblikksbilde,Migawka,Instantâneo,Снимок,Ögonblicksbild,快照
Solr,ACS,Product name. Do not translate.,,Solr,Solr,Solr,Solr,Solr,Solr,Solr,Solr,Solr,Solr,Solr,Solr,Solr,Solr,Solr
Start Audit log,RM,,,Zahájit protokol auditu,Start overvågningslog,Audit-Protokoll starten,Iniciar registro de auditorías,Aloita tarkastusloki,Démarrer le journal d'audit,Avvia log di audit,監査ログの開始,Auditlog starten,Start revisjonslogg,Uruchom dziennik inspekcji,Iniciar log de auditoria,Начать запись в журнал аудита,Starta granskningslogg,启动审计日志
Start Workflow,ACS,,,Zahájit pracovní proces,Start workflow,Workflow starten,Iniciar flujo de trabajo,Käynnistä työnkulku,Démarrer un workflow,Avvia workflow,ワークフローの開始,Workflow starten,Start arbeidsflyt,Uruchom przepływ roboczy,Iniciar fluxo de trabalho,Начать бизнес-процесс,Starta arbetsflöde,启动工作流程
Stencils,APS,,,Šablony,Elementer,Vorlagen,Plantillas,Kaavaimet,Gabarits,Stencil,ステンシル,Stencils,Stensiler,Wzorniki,Estênceis,Образцы,Mallar,模板
Step Editor,APS,,,Editor kroku,Trineditor,Step Editor,Editor de pasos,Vaihe-editori,Editeur par étapes,Editor di passaggi,ステップエディタ,Stapeditor,Trinn-redaktør,Edytor kroków,Editor de etapa,Редактор шагов,Stegeditor,步骤编辑器
Stop Audit log,RM,,,Zastavit protokol auditu,Stop overvågningslog,Audit-Protokoll stoppen,Detener registro de auditorías,Lopeta tarkastusloki,Arrêter le journal d'audit,Interrompi log di audit,監査ログの停止,Auditlog stoppen,Stopp revisjonslogg,Zatrzymaj dziennik inspekcji,Interromper log de auditoria,Остановить запись в журнал аудита,Stoppa granskningsloggen,停止审计日志
Storage Location,RM,,,Umístění úložiště,Lagerplacering,Speicherort,Ubicación de almacenamiento,Tallennussijainti,Emplacement de stockage,Posizione di archiviazione,保管場所,Opslaglocatie,Lagringssted,Lokalizacja magazynu,Local de armazenamento,Место хранения,Lagringsplats,存储位置
Subprocess,APS,,,Dílčí proces,Underproces,Teilprozess,Subproceso,Aliprosessi,Sous-processus,Sottoprocesso,サブプロセス,Subproces,Underprosess,Podproces,Subprocesso,Подпроцесс,Underprocess,子流程
Swimlanes,APS,,,Plavecké dráhy,Svømmebaner,Verantwortlichkeitsbereiche,Calles,Kaistat,Couloirs,Corsie,スイムレーン,Swimlanes,Svømmebaner,Tory,Raias,Дорожки,Swimlanes,泳道
Tabs,APS,,,Karty,Faner,Registerkarten,Pestañas,Välilehdet,Onglets,Schede,タブ,Tabbladen,Faner,Karty,Guias,Вкладки,Flikar,标签
Tag,ACS,Verb,علامة,Tag,Tagge,Taggen,Etiquetar,Merkitse tunnisteella,Etiqueter,Contrassegna,タグを付ける,Taggen,Tagg,Znacznik,Marcar,Отметить,Tagg,标记
Task,APS,,مهمة,Úkol,Opgave,Aufgabe,Tarea,Tehtävä,Tâche,Compito,タスク,Taak,Oppgave,Zadanie,Tarefa,Задача,Uppgift,任务
Task Listener,APS,,,Naslouchání úkolu,Lyttefunktion til opgave,Aufgaben-Listener,Detector de tareas,Tehtäväkuuntelija,Ecouteur de tâche,Listener di compito,タスクリスナー,Task listeners,Oppgavelyttere,Odbiornik zadań,Listener de tarefas,Слушатели задачи,Uppgiftslyssnare,Task 监听器
Tenant,APS,,,Tenant,Tenant,Mandant,Inquilino,Tilaaja,Client,Tenant,テナント,Tenant,Leietaker,Dzierżawca,Tenant,Клиент,Kund,租户
Thread,APS,,,Vlákno,Tråd,Thread,Subproceso (en grupo),Säie,Thread,Thread,スレッド,Thread,Tråd,Wątek,Segmentos,Поток,Tråd,线程
Throwing Events,APS,,,Události throw,Udløsningshændelser,Zwischenauslöseereignisse,Eventos de lanzamiento,Lähetystapahtumat,Evénements de génération,Eventi di generazione,中間スローイベント,Throwing events,Holdehendelser,Zdarzenia zgłoszeniowe,Eventos de lançamento,Промежуточные события-инициаторы,Kasta händelser,中间抛出事件
Thumbnails,ACS,,صور مصغرة,Miniatury,Miniaturevisninger,Miniaturansichten,Miniaturas,Pikkukuvat,Vignettes,Miniature,サムネイル,Miniaturen,Miniatyrbilder,Miniatury,Miniaturas,Эскизы,Miniatyrbilder,缩略图
To (addressee),ACS,"String ID:  table.email.label.addressee - As in email to send/sent ""To""",مرسل إلى,Komu,Til (modtager),An,Para (destinatario),Vastaanottaja,A,A (destinatario),宛先 (addressee),Aan,Til (mottaker),Do (adresat),Para (destinatário),Кому,Till (adressat),收件人
To (date range),ACS,String ID: form.control.date-range.to - From and To labels for date range control,إلى,Do,Til (datointerval),Bis,A (rango de fechas),Päättyy:,Jusqu'au,Il (intervallo di date),終了日 (date range),Tot,Til (datoområde),Do (zakres dat),Para (intervalo de datas),До,Till (datumintervall),至
Toolbar,ACS,,ريط أدوات,Panel nástrojů,Værktøjslinje,Symbolleiste,Barra de herramientas,Työkalurivi,Barre d'outils,Barra degli strumenti,ツールバー,Werkbalk,Verktøylinje,Pasek narzędzi,Barra de ferramentas,Панель инструментов,Verktygsfält,工具栏
Top Secret,RM,,ري للغاية,Přísně tajné,Tophemmelig,Streng geheim,Ultra secreto,Huippusalainen,Top secret,Segretissimo,最高機密,Topgeheim,Topp hemmelig,Ściśle tajne,Absoluto sigilo,Совершенно секретно,Topphemlig,最高机密
Trashcan,ACS,,سلة محذوفات,Koš,Papirkurv,Papierkorb,Papelera,Roskakori,Corbeille,Cestino,ごみ箱,Prullenbak,Papirkurv,Kosz,Lixeira,Корзина,Papperskorg,垃圾桶
Unassigned,ACS,This refers to: Task,غير معين ,Nepřiřazeno,Ikke-tildelt,Nicht zugewiesen,Sin asignar,Määrittämätön,Non assigné,Non assegnato,担当者なし,Niet-toegewezen,Ikke-tilordnet,Nieprzypisane,Não atribuído,Неназначенные,Otilldelad,未指派
Unclassified,RM,,غير مصنف,Neklasifikováno,Uklassificeret,Nicht klassifiziert,Sin clasificar,Salaamaton,Non classé,Non classificato,未分類,Niet-geclassificeerd,Uklassifisert,Jawne,Não classificado,Не засекречено,Oklassifierad,未分类
Undo,ACS,,تراجع,Vrátit zpět,Fortryd,Rückgängig machen,Deshacer,Kumoa,Annuler les modifications,Annulla,元に戻す,Ongedaan maken,Angre,Cofnij,Desfazer,Отменить,Ångra,撤消
Undo Cut off,RM,,تراجع عن التوقف,Zrušit oddělení,Fortryd afskæring,Trennung aufheben,Deshacer interrupción,Kumoa leikkaus,Annuler le début de conservation,Annulla cut off,カットオフを取り消す,Afsluiten ongedaan maken,Angre cut off,Cofnij wyeliminowanie,Desfazer corte,Отменить отрезание,Ångra avskiljning,撤消中断
Unfiled Records,RM,,السجلات غير المقدمة,Nevyplněné záznamy,Ikke-arkiverede poster,Nicht abgelegte Records,Documentos de archivo no archivados,Arkistoimattomat tietueet,Documents d'archives non classés,Record non archiviati,整理保管されていないレコード,Niet-gearchiveerde records,Oppføringer som ikke er registrert,Rekordy niezaszeregowane,Documentos arquivísticos não arquivados,Незаполненные записи,Oarkiverade handlingar,未立卷记录
Unique Record Identifier,RM,,معرف فريد للسجل,Jedinečný identifikátor záznamu,Unikt post-id,Eindeutige Record-ID,Identificador único de documento de archivo,Yksilöllinen tietuetunniste,Identifiant unique de document d'archives,Identificatore record univoco,一意のレコード ID,Unieke identificatie record,Unik oppførings-ID,Unikatowy identyfikator rekordu,Identificador de documento arquivístico exclusivo,Уникальный идентификатор записи,Unik handlingsidentifierare,唯一记录标识符
Upload,ACS,"Verb, as in: upload content in the repository.  For RU: usually used the same for both Upload and Download",تحميل,Odeslat,Upload,Hochladen,Cargar,Lataa,Importation,Carica,アップロードする,Uploaden,Laster opp,Prześlij,Carregar,Загрузить,Ladda upp,上传
User Rights,RM,,,Uživatelská práva,Brugerrettigheder,Benutzerrechte,Derechos de usuario,Käyttäjäoikeudet,Droits des utilisateurs,Diritti utente,ユーザー権限,Gebruikersrechten,Brukerrettigheter,Prawa użytkownika,Direitos do usuário,Права пользователя,Användarrättigheter,用户权限
View Record,RM,,,Zobrazit záznam,Se post,Record anzeigen,Ver documento de archivo,Näytä tietue,Afficher le document d'archives,Visualizza record,レコードの表示,Record bekijken,Vis oppføring,Wyświetl rekord,Visualizar documento arquivístico,Просмотр записи,Visa handling,查看记录
Visual Editor,APS,,محرر مرئي,Vizuální editor,Visual Editor,Visual Editor,Editor visual,Visuaalinen editori,Editeur visuel,Editor visuale,ビジュアルエディタ,Visual Editor,Visuell redaktør,Edytor wizualny,Editor visual,Визуальный редактор,Visuell editor,可视化编辑器
Vital record,RM,,,Důležitý záznam,Meget vigtig post,Besonders relevante Records,Documento de archivo vital,Tärkeä tietue,Document d'archives essentiel,Record fondamentali,バイタルレコード,Vitale record,Svært viktig oppføring,Rekord kluczowy,Documento arquivístico vital,Ключевая запись,Särskilt viktiga handlingar,核心记录
Web Record,RM,,,Webový záznam,Webpost,Web-Record,Documento de archivo web,Verkkotietue,Document d'archives Web,Record Web,Web レコード,Web-record,Nettoppføring,Rekord WWW,Documento arquivístico da Web,Веб-запись,Webbhandling,Web 记录
Web site,ACS,,,Webová stránka,Website,Web-Site,Sitio Web,Verkkosivusto,Site Web,Sito Web,Web サイト,Website,Webområde,Witryna internetowa,Site da Web,Веб-сайт,Webbplats,网站
Workflow,ACS,"French, Danish, Italian, German: please keep workflow"" in English""",سير عمل,Pracovní postup,Workflow,Workflow,Flujo de trabajo,Työnkulku,Workflow,Workflow,ワークフロー,Workflow,Arbeidsflyt,Przepływ roboczy,Fluxo de Trabalho,Бизнес-процесс,Arbetsflöde,工作流程
Workspace,ACS,"As in ""My document workspaces"" / ""My meeting workspaces""",مساحة عمل,Pracovní prostor,Arbejdsområde,Arbeitsbereich,Espacio,Työtila,Espace de travail,Spazio di lavoro,ワークスペース,Werkruimte,Arbeidsområde,Obszar roboczy,Espaço de trabalho,Рабочая область,Arbetsområde,工作空间
Maximize,,,تكبير,,Maximera,Maximieren,Maximizar,,Agrandir,Massimizzare,最大化,Maximaliseren,Maksimer,Maksymalizuj,Maximizar,Развернуть,Maximera,最大化
Minimize,,,تصغير,,Minimera,Minimieren,Minimizar,,Réduire,Minimizzare,最小化,Minimaliseren,Minimer,Minimalizuj,Minimizar,Свернуть,Minimera,最小化
Diagrams,,,مخططات,,Diagram,Diagramme,Diagramas,,Diagrammes,Diagrammi,図,Diagrammen,Diagrammer,Schematy,Diagramas,Схемы,Diagram,图表
Sign out,,,تسجيل خروج,,Logga ut,Abmelden,Cerrar sesión,,Déconnexion,Disconnetti,サインアウト,Afmelden,Logg ut,Wyloguj się,Sair,Выйти,Logga ut,退出
Apply,ADF,,تطبيق,,Tillämpa,Anwenden,Aplicar,,Appliquer,Applica,適用,Toepassen,Bruk,Zastosuj,Aplicar,Применить,Tillämpa,应用
Analytics,ADF,,تحليلات,,Analys,Analytik,Análisis,,Analyse,Analisi,分析,Analytics,Analyser,Analityka,Análise,Анализ данных,Analys,分析
Checking,ADF,,فحص,,Kontrollerar,Überprüfung,Comprobando,,Vérification,Verifica in corso,確認中,Controleren,Kontrollerer,Sprawdzanie,Verificando,Проверка,Kontrollerar,正在检验
Need help?,ADF,RU: This is the most commonly used translation (just Help),بحاجة لمساعدة؟,,Behöver du hjälp?,Brauchen Sie Hilfe?,¿Necesita ayuda?,,Besoin d'aide ?,Hai bisogno di aiuto?,ヘルプが必要ですか?,Hulp nodig?,Trenger hjelp?,Potrzebujesz pomocy?,Precisa de ajuda?,Справка,Behöver du hjälp?,是否需要帮助？
ID,ADF,,معرف,ID,ID,ID,ID,,ID,ID,ID,Id,ID,Identyfikator,Идентификатор,ID,ID,ID
We hit a problem,,,نواجه مشكلة,,Vi har stött på ett problem OR Vi stötte på ett problem,Es ist ein Problem aufgetreten,Ha surgido un problema,,Un problème est survenu,Si è verificato un problema,問題が発生しました,Er is een probleem opgetreden,Vi støtte på et problem,Wystąpił problem,Encontramos um problema,Возникла проблема,Vi har stött på ett problem OR Vi stötte på ett problem,我们遇到一个问题
Sequence Flow,,,سير عمل متسلسل,,Sekvensflöde,Sequenzablauf,Flujo de sequencias,,Flux de séquences,Flusso di attività,シーケンスフロー,Sequence Flow,Sekvensflyt,Przepływ sekwencji,Fluxo de sequência,Поток выполнения,Sekvensflöde,Sequence Flow
Permission,,,,Oprávnění,Tilladelse,Berechtigung,Permiso,Oikeus,Permission,Permessi ,権限,Recht,Tillatelsen,Uprawnienie,Permissão,разрешение,Behörighet,权限
Release,"Verb. A user that has claimed a task can unclaim (""Release"" button) the task this means that the user will lose the right to manage the task.",,تحرير,Vzdát se,Frigive,Anspruch aufheben,Liberar,Vapauta,Libérer,Restituisci,担当解除,Vrijgeven,Frigi,Zwolnij,Liberar,Освободить,Avsäga,释放
